Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
59280 2020 5 30 12 8192.0000 20200530111536 1945.0000 0.0594 0.1781 219.0000 999999.0000 999999.0000 999999.0000 7.8000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1993.0000 0.0628 0.1843 209.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2027.0000 0.0654 0.1894 203.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2006.0000 0.0637 0.1860 207.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1974.0000 0.0615 0.1818 213.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1939.0000 0.0589 0.1773 220.0000 999999.0000 999999.0000 999999.0000 -45.5000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1986.0000 0.0624 0.1834 210.0000 999999.0000 999999.0000 999999.0000 -3.2000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1980.0000 0.0619 0.1826 212.0000 999999.0000 999999.0000 999999.0000 4.4000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1865.0000 0.0539 0.1686 236.0000 999999.0000 999999.0000 999999.0000 -41.4000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1859.0000 0.0535 0.1679 238.0000 999999.0000 999999.0000 999999.0000 -23.4000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1884.0000 0.0551 0.1707 232.0000 999999.0000 999999.0000 999999.0000 -42.5000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1871.0000 0.0543 0.1693 235.0000 999999.0000 999999.0000 999999.0000 16.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1848.0000 0.0526 0.1663 240.0000 999999.0000 999999.0000 999999.0000 33.4000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1915.0000 0.0572 0.1743 225.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1906.0000 0.0568 0.1736 227.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1921.0000 0.0576 0.1751 223.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1892.0000 0.0556 0.1715 230.0000 999999.0000 999999.0000 999999.0000 -42.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1854.0000 0.0531 0.1671 239.0000 999999.0000 999999.0000 999999.0000 6.6000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1898.0000 0.0560 0.1722 228.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2181.0000 0.0747 0.2116 172.0000 999999.0000 999999.0000 999999.0000 -59.5000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2195.0000 0.0753 0.2133 169.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2189.0000 0.0750 0.2124 170.0000 999999.0000 999999.0000 999999.0000 -59.8000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2145.0000 0.0727 0.2064 179.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2133.0000 0.0720 0.2047 181.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2172.0000 0.0740 0.2098 174.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2359.0000 0.0825 0.2370 141.0000 999999.0000 999999.0000 999999.0000 -69.4000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2265.0000 0.0784 0.2239 158.0000 999999.0000 999999.0000 999999.0000 -63.6000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2384.0000 0.0838 0.2403 136.0000 999999.0000 999999.0000 999999.0000 -71.2000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2214.0000 0.0762 0.2160 166.0000 999999.0000 999999.0000 999999.0000 -89.8000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2151.0000 0.0731 0.2072 177.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2255.0000 0.0779 0.2221 160.0000 999999.0000 999999.0000 999999.0000 -63.2000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2074.0000 0.0684 0.1963 193.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2069.0000 0.0680 0.1954 194.0000 999999.0000 999999.0000 999999.0000 41.0000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2086.0000 0.0691 0.1980 191.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2048.0000 0.0666 0.1920 198.0000 999999.0000 999999.0000 999999.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2036.0000 0.0659 0.1903 201.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2062.0000 0.0677 0.1946 196.0000 999999.0000 999999.0000 999999.0000 18.2000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2109.0000 0.0705 0.2014 186.0000 999999.0000 999999.0000 999999.0000 41.2000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2127.0000 0.0716 0.2039 182.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2114.0000 0.0705 0.2014 184.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2092.0000 0.0694 0.1989 190.0000 999999.0000 999999.0000 999999.0000 36.6000 999999.0000 999998.0000 
